Review,Sentimen
Check out SKINTIFIC - Perfect Stay Velvet Matte Poreless & Flawless Cushion High Coverage Long-lasting All Skin 11ml for RM33.00 - RM53.00. Get it on Shopee now! https://s.shopee.com.my/1qPwXEgEpm?share_channel_code=7,Positive
gais mending cushion skintific atau timephoria ya?,Neutral
Wts cushion skintific shade ivory new 90k aja bisa oren dom jateng,Neutral
"While org lain dok hype cushion foundation Skintific, I masih rasa this one is the best cushion foundation yang I pernah pakai.",Positive
SKINTIFIC - Perfect Stay Velvet Matte Cushion | Foundation Compact Oil-Control Waterproof Sweatproof Matte Finish Non-Comedogenic Poreless Blue Cushion Foundation Flawless BB&CC Cream Makeup High-Coverage Bedak Skin Tint dengan Rp99.000. Dapatkan Shopee ! ,Positive
"guyss wtb, wadah cushion skintific biru plzzzz",Neutral
SKINTIFIC Perfect Radiant Glow Cushion 🤍,Neutral
"Nyobain cushion terbarunya Skintific, asli finishnya flawless banget! 😭♥",Positive
"guys skintific punya cushion! jujur bagus banget, finishnya satin skin & flawless.",Positive
beneran paket komplit buat cushion di bawah 200rb 👀  ,Neutral
Cushion Skintific yang baru ini finishnya cakep banget woy?!!,Neutral
"Finally 𝗛𝗘𝗥𝗘! new launch 𝙎𝙠𝙞𝙣𝙩𝙞𝙛𝙞𝙘 𝘾𝙐𝙎𝙃𝙄𝙊𝙉 𝘽𝙇𝙐𝙀 for oily skin. SATU tap je korang boleh tutup segala aib di muka, syoknya!#SKINTIFICMatteCushion",Neutral
Aku mau jual cushion skintific 02 ivory,Neutral
"yg jual cushion apa aja deh, atau twc skintific ada?",Neutral
SKINTIFIC Perfect Stay Velvet Matte Cushion(Denim Packaging Limited Edition),Neutral
wtb refill cushion skintific shade 03 petal dong,Neutral
tawarin cushion skintific coy,Neutral
"siapa yang belum pernah try cushion skintific tu, kalau prefer makeup ringan ringan je better dab sekali je untuk apply satu muka terus.",Neutral
tawarin refill cushion skintific shade almond dong guys,Neutral
skintific cushion will be the best purchase ever,Positive
SUPER EXCITED nyobain cushionnya skintific yang baru ini👀,Neutral
cara nutupin bekas jerawat pake makeup gimana ya? cukup ga pake cushion skintific? {mu},Neutral
"guys aku pake cushion somethinc shade charlotte, kalo mau ganti cushion skintific bagusnya shade apa ya?",Positive
Mau cushion skintific biru ivory sama liptint/lipbalm apa aja yang warna bibir,Neutral
Aku pake cushion skintific yang shade petal kalau mau beli skintint esqa mending shade apaa yaa?,Neutral
Skintific cushion  02N 150฿,Neutral
"temenn- temen, disini ada yg make skin tint dari rose all day gak? yang shadenya mirip cushion skintific 03A, shade apa ya??",Neutral
Mau cushion skintific refill,Neutral
new cushion skintific shade beige,Neutral
kak skintific cushion masuk gak?,Neutral
Knp yah gue pake cushion skintific ini ngecrack?:(,Negative
"Sebenernya masih ada lagi yg ga kefoto cushion Skintific, lip serum skintific,  nescafe, mois g2g 🙈",Neutral
"Selain skintific cushion tu kan, I jumpa ada cushion lain yang more affordable. For me skintific 50++ a bit pricey la for student. Cushion ni I suka gila dia punya coverage and finishing😻",Positive
wtb refill cushion skintific biru/matte shade ivory,Neutral
"guys tawarin refill cushion skintific shade 03 petal dungg, sama tas main kalo adaa maacii 🤍",Neutral
SKINTIFIC Perfect Radiant Glow Cushion 🤍,Neutral
pad! ada yang jual cushion skintific gaaa?????? butuhhbhhh plsssss preloved gapapa,Positive
"uh, aku punya cushion skintific cuma dipake dua kali ................gadipake karena jarang pake cushion, waktu itu cuma nyobain ternyata not my thing. ",Neutral
"mau tanyaa dong base yg hasilnya hampir mirip kaya cushion skintific yang biru, apa aja yaa? aku normal to oily tp cocoook bgt sm ini cushion, tp boncos😭",Negative
Ga nyesel CO Cushion-nya Skintific tanggal 01.01 kemarin soalnya sebagus ini bisa hapus dosa di wajah 😭🩷,Positive
"halo everyone I'm back again 🥹, siapa yang mau bantu isi atau barter kuesioner.. perlu 100 responden gais kriteria nya ngikutin Tasya Farasya di TikTok sama tau Cushion Skintific yg biru 🙏🏻🙏🏻😭",Neutral
₱300 nalang skintific cushion! https://s.shopee.ph/6AYwPGdcHg,Neutral
"braw!  ‼️ WTS CUSHION SKINTIFIC ‼️  shade 03 petal, belum pernah dipakai sama sekali, 120k aja",Neutral
"Aku beliin mama cushion Skintific yang dia mau waktu itu. Terus pas aku kasih paketnya dan gak bilang itu apa, mama buka tanpa ekspektasi. Setelah tau isinya apa yang dia pengen, matanya langsung bersinar 🥹",Neutral
"aku mau preloved cushion skintific punya kaka ku, baru 2x dipake aku jual 100k aja",Positive
"Nyobain cushion skintific biru bagus juga, lebih bagus dr makeover menurutku",Positive
"Cushion Skitific tu hasil dia smooth & flawless sebab dia silicone based tau. So kalau nak pakai primer make sure primer pun silicone based, supaya dorg bergaul mesra on the skin.",Positive
"rek! ada yang punya wadah bekas cushion skintific nggak? kalau bisa yang shade nomor 5, aku beliii",Neutral
cushion skintific yg biru mantul bgt gesss. Tapi aku selalu kunci pake bedak tabur emina yg pink. Kombinasi yg waw😭👍,Neutral
"ada cushion somethinc hooman & copy paste, moist skintific, ss npure, conditioner makarizo, celana jeans sisa 1 warna, atasan+rok",Neutral
skintific - perfect stay velvet matte cushion (repurchase).,Neutral
"Guys aku salah shade cushion skintific😭😭 ada yg mau beli tidaa? Aku belinya yg shade almond ternyata kegelapan:( baru dipake 1x, puff nya udh kepake. Aku beli 167ribu di sociolla:( aku jual 150rb ajaaa",Negative
tadi nyobain cushion skintific… loh kok bagus? ((positif)),Positive
wtb cushion skintific yang 02 ivory dong yang fullsize,Neutral
-dips! ada yang punya tempat cushion skintific yang udah ga kepake,Neutral
"Guys, saranin bedak padat ultima II dongg. Utk kulit normal to dry masih okee ga ya?? Aku biasa pake wardah shade 22n, cushion instaperfect 22light ivory& skintific gold cushion shade 02 Thankyouu sdh di jawab🤗🤗",Positive
Tawarin refill cushion skintific biru shade 01 Vanila,Neutral
cushion skintific tahan banting bgt dari jam 10 pagi sampe jam 3 pagi,Neutral
"ada moist skintific, cushion somethinc hooman copypaste, conditioner makarizo, ss npure, celana jeans, atasan+rok",Neutral
"Halo kak odrey @tarochococookie, hadiah GAnya sudah sampai, ya ampun speechless karna akhirnya bisa nyobain cushion Skintific 🥹. Pas banget shadenya diaku😭. Seneng banget pokoknya, makasih banyak ya kak odrey🫶🏻🥰",Neutral
cushion skintific biru punya ibu gw jgn lupa ada di tas lu,Neutral
SKINTIFIC Matte Cushion Perfect Stay Velvet Matte 11ml Oil-Control Waterproof Sweatproof Matte Finish Poreless Cushion Foundation Flawless BB Cream CC Cushion Makeup High-Coverage Bedak Padat,Positive
SKINTIFIC Cushion Cover All Perfect Air Cushion High Coverage Poreless&Flawless Foundation Long-lasting SPF35 PA++++,Positive
cushion skintific gold shade beige💸95k,Neutral
Cushion skintific kek lengket bgt di mukaku,Neutral
Betul la Skintific cushion ni power. Tutup habis kot segala cela 😭,Neutral
【New】Refill-Skintific Perfect Stay Velvet Matte Cushion,Neutral
GERCEPPP SKINTIFIC CUSHION ,Neutral
"tf...... ni mesti suka lelaki putih melepak pakai sunscreen, pakai lipbalm, pastu pakai cushion skintific kan?",Positive
"Hasil teracun dengan Sofea Shra & Datin Intan Najuwa, i dah beli cushion & lipstain dia. Sumpah cakap, kalau korang suka skintific korang akan IN LOVE dengan yang ni!!",Positive
i literally didn’t have to faceapp this photos because skintific cushion is THAT BITCH I LOVE HER.,Positive
"Kalau skintific i pakai 02, time phoria i kene pakai 03. Lagi jatuh hati sebab cushion dia tak gerak even berpeluh🥹🫶🏻",Negative
cushion skintific shade ivory : 70k bru dipke skli,Neutral
I had never wear any other cushion besides skintific before😭I had try the other brand but its not matched my skin eventhough some people says its better than skintific maybe I should give 3CE a try for haohao🫂,Neutral
